,SNAME_lookup,SZIP_lookup,CDSCode
1936,saint philip neri catholic elementary,94501,
1937,saint phillip lutheran,94568,
1938,saint rose,95403,
1939,saint vincent de paul elementary,94123,
1940,saints peter and paul,94133,
1941,sakamoto elementary,95119,
1942,salano community,94534,
1943,salazar hall sonoma state university,94928,
1944,salesian high,94806,
1945,salmon creek harmony,95465,
1946,salmon creek middle,95465,
1947,sam mcgale district,95403,
1948,sam ramone high,94526,
1949,samly ander high,94577,
1950,sammietto,94533,
1951,sammkietto,94533,
1952,samuel merrit university,94609,
1953,samuel merritt university,94609,
1954,san andreas high,94939,
1955,san diego state university,92115,
1956,san domenico,94960,
1957,san francis cabrina,95124,
1958,san francisco,94122,
1959,san francisco,94134,
1960,san francisco academy of art,94105,
1961,san francisco art academy,94105,
1962,san francisco city college,94110,
1963,san francisco city college,94112,
1964,san francisco community,94112,
1965,san francisco community college,94117,
1966,san francisco friends,94103,
1967,san francisco law,94103,
1968,san francisco state,94132,
1969,san francisco state university,94103,
1970,san francisco state university,94117,
1971,san francisco state university,94132,
1972,san francisco waldorf high,94132,
1973,san franciso state university,94132,
1974,san fransico state uiversity,94132,
1975,san jose city college,95125,
1976,san jose city college,95128,
1977,san jose city tech,95128,
1978,san jose conservation corp,95111,
1979,san jose district,95112,
1980,san jose job corp,95127,
1981,san jose middle,94947,
1982,san jose middle,94949,
1983,san jose st,95054,
1984,san jose state university,70118,
1985,san jose state university,95112,
1986,san jose state university,95192,
1987,san jose state university,95666,
1988,san jose university,95112,
1989,san lorenzo high,94530,
1990,san marine high,94945,
1991,san mateo college,94402,
1992,san mateo community college,94402,
1993,"san mateo community college district (skyline, csm, canada)",94402,
1994,san mateo county community college district,94402,
1995,san mateo high,94533,
1996,san ramon valley high scholl,94526,
1997,san ramon vallley high,94526,
1998,san raymond,94945,
1999,san romoan high,94526,
2000,san rosa jr college,95401,
2001,san teresa san bernall,95139,
2002,san ysidro elementary,95136,
2003,sant aroza junior college,95401,
2004,santa clara,94024,
2005,santa clara,95050,
2006,santa clara,95051,
2007,santa clara university,95050,
2008,santa clara university,95053,
2009,santa cruz university,95064,
2010,santa jose city college,95128,
2011,santa rosa,95401,
2012,santa rosa,95404,
2013,santa rosa charter for the arts,95404,
2014,santa rosa college,95401,
2015,santa rosa college,95403,
2016,santa rosa jr college,94954,
2017,santa rosa jr college,95401,
2018,santa rosa junior college,94954,
2019,santa rosa junior college,95401,
2020,santa rosa junior college,95403,
2021,santa rosa junior college doyle library,95401,
2022,sara high,94403,
2023,sc high,95121,
2024,scared heart cathedral,94109,
2025,schilling elementary,94560,
2026,school of the arts,94131,
2027,scripps college,91711,
2028,scs,94536,
2029,sea crest,94019,
2030,seattle university,98122,
2031,sebastopol charter,95472,
2032,senoma country day,95403,
2033,sequia  middle,94523,
2034,sequio elementary,94523,
2035,sequoia,94523,
2036,sequoia adult,94025,
2037,sf city college,94112,
2038,sfsu,94132,
2039,shaveta college,94545,
2040,sheldon elementary,94533,
2041,shephard middle,95407,
2042,sherman,94123,
2043,sherman oaks community charter,95128,
2044,shobo college,94545,
2045,short acres,94565,
2046,sierra college,96161,
2047,silicon valley flex academy,95037,
2048,silvandale,95111,
2049,silver oaks elementary,95138,
2050,silverado middle,94559,
2051,sinaloa,94947,
2052,sinoloa middle,94947,
2053,siqoua,94062,
2054,sir francis drake,94960,
2055,sir francis drake hs,94960,
2056,sjsu,95112,
2057,sky line community college,94066,
2058,skyline college,94044,
2059,skyline college,94066,
2060,skyline college,94105,
2061,skyline college,94402,
2062,skyline community college,94066,
2063,skyline jr college,94066,
2064,skyline university,94066,
2065,sleepy hollow,94563,
2066,smt,95128,
2067,snail community center,95136,
2068,solano,94534,
2069,solano cc,94534,
2070,solano community college,94109,
2071,solano community college,94534,
2072,solano community college,94591,
2073,solano community college,95688,
2074,solano comunity college,94534,
2075,solor sano middle,95020,
2076,sonoma state,94928,
2077,sonoma state university,94928,
2078,sonoma university,94928,
2079,sorace mann,95112,
2080,south city high,94080,
2081,south valley children's center,95124,
2082,southern california,92110,
2083,southern oregon,97520,
2084,spring hill elementary,94549,
2085,springer,94040,
2086,springstone,94549,
2087,spsv high,94591,
2088,sr,94066,
2089,srjc,95401,
2090,st  cecilia,94132,
2091,st anne,94122,
2092,st brigid,94109,
2093,st charles,94070,
2094,st christopher,95125,
2095,st christopher's,95125,
2096,st clare's,95050,
2097,st dunstan,94030,
2098,st eugen's cathedral elementary,95405,
2099,st eugene's cathedral elementary,95409,
2100,st eugene's cathedral-2,95405,
2101,st francis,94040,
2102,st francis high,94040,
2103,st helena elementary,94574,
2104,st helena high,94574,
2105,st helena montessori,94574,
2106,st ignatius college prep,94116,
2107,st ignatius college preparatory,94116,
2108,st isabella,94903,
2109,st isidore,94526,
2110,st john vianney,95127,
2111,st john's,94530,
2112,st john's elementary,94131,
2113,st joseph mountain view elementary,94040,
2114,st justin catholic,95051,
2115,st justin elementary,95051,
2116,st lawrence academy,95051,
2117,st martin of tours,95128,
2118,st mary's,94556,
2119,st mary's college,94556,
2120,st mary's college of california,94556,
2121,st mary's high,94706,
2122,st marys,94556,
2123,st marys college,94556,
2124,st matthews,94402,
2125,st michael's,94550,
2126,st peter & paul,94133,
2127,st phillip,94114,
2128,st robert,94066,
2129,st simons,94024,
2130,st stevens,94132,
2131,st teresas elementary,94618,
2132,st thomas apostle,94121,
2133,st timothy lutheran,95118,
2134,st timothy's lutheran,95124,
2135,st veronica catholic,94080,
2136,st victor,95132,
2137,st vincent de paul,94123,
2138,"st, francis",94040,
2139,st. clare's,95050,
2140,st. david,94805,
2141,st. dunstan,94030,
2142,st. isabella,94903,
2143,st. isidore,94526,
2144,st. mary's college,94556,
2145,stanford univ.,94305,
2146,stanford university,94305,
2147,stanford university continuing studies,94305,
2148,stanley,94549,
2149,stanley middle,94549,
2150,starr king,94107,
2151,starr king elementary,94107,
2152,starting gate,94590,
2153,statford washington park,94086,
2154,steele elementary,95403,
2155,stepping stone academy,94509,
2156,steve and kate's camp,94941,
2157,stevenson intermediate,94574,
2158,stewart hall,94109,
2159,stewart hall,94123,
2160,stockelmeir elementary,94087,
2161,stocklemier elementary,94087,
2162,stocklmeir elementary,94087,
2163,stockmier elementary,94087,
2164,stone bridge,94559,
2165,stone gate,95121,
2166,stone valley,94596,
2167,stonebrae,94542,
2168,stonebrick elementary,94542,
2169,stonebridge,94559,
2170,stonge elementary,95121,
2171,strafford,95124,
2172,stratford,95032,
2173,stratford,95051,
2174,stratford - san jose,95119,
2175,stuart hall,94109,
2176,stuart hall high-2,94109,
2177,sub valley junior high,95020,
2178,success charter,95122,
2179,summit high,95127,
2180,summit prep,94063,
2181,sun valley,94901,
2182,sunny brae elementary,94402,
2183,sunnyridge elementary,95472,
2184,sunnyville middle,94087,
2185,sunol glen,94586,
2186,sunol glenn,94586,
2187,sunridge elementary,85043,
2188,susan b anthony elementary,94014,
2189,sycamore valley,94506,
2190,synerey elementary,94110,
2191,synergy,94110,
2192,tabernacle,94521,
2193,taft community,94063,
2194,tairet elementary,94544,
2195,tam high,94941,
2196,tamalpais hs,94941,
2197,tamaulipas high,94941,
2198,tamaulipas valley,94925,
2199,tassajara hills,94506,
2200,tawalsh elementary,95037,
2201,taylor,95123,
2202,tehiyah day,94530,
2203,teman,94306,
2204,teralinda high,94903,
2205,terman middle,94306,
2206,terra nova,94044,
2207,terra nova high,99999,
2208,terrance elementary,95136,
2209,terranova high,94044,
2210,terrell elem,95136,
2211,texas christian university,76109,
2212,the art institute,94102,
2213,the art institute of san francisco,94102,
2214,the athenian,94506,
2215,the bay of san francisco,94129,
2216,the berkeley,94702,
2217,the berkley,94702,
2218,the california maritime academy,94590,
2219,the dr herbert guice christian academy,94621,
2220,the harker,95117,
2221,the jazz institute of berkley,94704,
2222,the kipp san francisco bay academy,94115,
2223,the laurel,94118,
2224,the marin,94109,
2225,the nueva,94010,
2226,the pacifica institute,93013,
2227,the san francisco,94134,
2228,the santa rosa jr college,95401,
2229,the seven hills,94598,
2230,the waldorf,94043,
2231,thedore roosevelt middle,94118,
2232,theresa high,95123,
2233,thomas hart middle,94588,
2234,thomas p ryan,95127,
2235,thorne hill elementary,94611,
2236,tierra linda,94070,
2237,tierre landa middle,94070,
2238,timber point,94505,
2239,tom matsumoto,95135,
2240,touro university,94592,
2241,town for boys,94115,
2242,trace,95191,
2243,trace elementary,95126,
2244,tuc elementary,94508,
2245,twin hills middle,95472,
2246,twn hills charter,95472,
2247,tyler mountain elementary,95407,
2248,uc berkeley,94709,
2249,uc berkeley,94720,
2250,uc berkley,94709,
2251,uc san francisco,95401,
2252,uc santa cruz,95060,
2253,uc santa cruz,95064,
2254,ucd,95616,
2255,ucla,90024,
2256,ucla,90095,
2257,ucsf,94103,
2258,ukiah high,95482,
2259,un,89512,
2260,union city high,94587,
2261,univ of cali riverside,92507,
2262,university,94545,
2263,university high,94115,
2264,university of arizona center of integrated medicine,85004,
2265,university of california,90024,
2266,university of california,90025,
2267,university of california,92507,
2268,university of california,94601,
2269,university of california,94704,
2270,university of california,94709,
2271,university of california,94720,
2272,university of california,95616,
2273,university of california,95929,
2274,university of california - santa cruz,95064,
2275,university of california at berkeley,94703,
2276,university of california at davis,95616,
2277,university of california at hayward,94542,
2278,university of california berkeley,94704,
2279,university of california berkeley,94705,
2280,university of california berkeley,94709,
2281,university of california berkeley,94720,
2282,university of california davis,95616,
2283,university of california davis,95816,
2284,university of california hastings,94102,
2285,university of california irvine,94132,
2286,university of california los angeles,90024,
2287,university of california los angeles,90095,
2288,university of california merced,95111,
2289,university of california merced,95340,
2290,university of california san diego,92037,
2291,university of california san francisco,94131,
2292,university of california san francisco,94132,
2293,university of california san francisco,94158,
2294,university of california san francisco,94704,
2295,university of california santa cruz,95037,
2296,university of california santa cruz,95064,
2297,"university of california, berkeley",94720,
2298,university of california-berkeley,94705,
2299,university of california-berkeley,94709,
2300,university of california-berkeley,94720,
2301,university of california-davis,95616,
2302,university of california-san diego,94539,
2303,university of california-san francisco,94158,
2304,university of chicago,60637,
2305,university of colorado,80303,
2306,university of nevada reno,89512,
2307,university of oregon,97401,
2308,university of oregon,97403,
2309,university of pacific,95204,
2310,university of pennsylvania,19104,
2311,university of phoenix,94551,
2312,university of phoenix,94612,
2313,university of phoenix,97015,
2314,university of phoenix inc,85040,
2315,university of puget sound college,98416,
2316,university of sacramento,95819,
2317,university of san francisco,94117,
2318,university of san francisco,94118,
2319,university of san francisco,95401,
2320,university of santa barbra,93117,
2321,university of santa cruz,95054,
2322,university of southern california,90089,
2323,university of southern california,95060,
2324,university of southern california,95064,
2325,university of southern california santa cruz,20036,
2326,university of tennessee,37916,
2327,university of the pacific,95204,
2328,university of the pacific,95211,
2329,"university of the pacific, arthur a. dugoni of dentistry",94115,
2330,university of urio grange do sul,95120,
2331,university of washington,98109,
2332,unknown,94105,
2333,upa middle,94601,
2334,upperbound city college,94118,
2335,usc,90089,
2336,vaca high,95688,
2337,vaca penna,95687,
2338,vaca-pena middle,95687,
2339,vacaille high,95688,
2340,vacapena,95687,
2341,vadaville,95688,
2342,valamar,94044,
2343,valle verde,94598,
2344,valleho charter,94591,
2345,vallejo adult,94591,
2346,vallejo high,94591,
2347,vallejo mill,94536,
2348,valley christian,95111,
2349,valley christian center,94568,
2350,valley christian high,95111,
2351,valley high,94568,
2352,valley verde,94598,
2353,valley view,94566,
2354,valley view elementary,94564,
2355,vallijo high,94590,
2356,vanden high,08302,
2357,vanden high,8302.,
2358,vanden high.,08302,
2359,various locations,94563,
2360,venture high,94582,
2361,village elementary,95008,
2362,vinci park,95131,
2363,visalia charter independent study,93277,
2364,viscerville elementary,95441,
2365,wagner ranch,94563,
2366,walden center &,94703,
2367,waldo of the peninsula,94024,
2368,waldo of the peninsula,94043,
2369,waldo rohnert elementary,94928,
2370,waldor,94115,
2371,waldorf elementary,94024,
2372,walla walla,99324,
2373,walnut acres,94598,
2374,walnut creek intermediate,94595,
2375,walnut grove,94566,
2376,walsh elementary,95037,
2377,walter hayes,94301,
2378,ward law elementary,94591,
2379,warm spring elementary,94539,
2380,warren wilson college,28778,
2381,washington,94536,
2382,washington elementary,92101,
2383,washington elementary,94703,
2384,washington elementary,94720,
2385,washington elementary- middle,95425,
2386,washinton high,94536,
2387,wci,94597,
2388,west borough middle,94080,
2389,west hillsborough elementary,94010,
2390,west valley,94087,
2391,west valley,95070,
2392,west valley college,95014,
2393,west valley college,95070,
2394,west valley community college,95070,
2395,west valley junior college,95070,
2396,western new mexico university,88061,
2397,western seminary san jose,95050,
2398,westfield valley fair,95128,
2399,westlake middle,94611,
2400,westmont,95008,
2401,westmont high,95130,
2402,westportal lutheran,94132,
2403,westside,95448,
2404,white hills middle,94930,
2405,whited elementary,95409,
2406,whittier college,90602,
2407,wilcox,95051,
2408,wilcox elementary,94515,
2409,wilcox high,95051,
2410,wilcux,95051,
2411,wildwood,94610,
2412,wildwood elementary,94610,
2413,will  c. wood high,95687,
2414,will c wood,95687,
2415,will c wood high,95687,
2416,willamette university,97301,
2417,willcox high,95051,
2418,william b bristow middle,94513,
2419,william c overfelt high,95122,
2420,william hopkins jr high,94539,
2421,willis justin junior high,95688,
2422,willow bend high,95125,
2423,willow glades elementary,95125,
2424,willow glenn middle,95125,
2425,willowside middle,95401,
2426,wilson elementary,94805,
2427,windrush,94530,
2428,wings,94063,
2429,winzsor high,95492,
2430,woo,94019,
2431,wood middle,94501,
2432,wood side priory,94028,
2433,woodside priory private,94028,
2434,worth academy,94601,
2435,wright institute,94704,
2436,wyotech fremont,94539,
2437,yb,94518,
2438,yickwo elementary,94133,
2439,ymca child care,94523,
2440,zacapana high,95687,
2441,zanker elementary,95035,
